Length, Avg. Value, Avg. Time, Best Value found, Total time
180, 5.29681e+06, , 5.16582e+06, 30.0146, 240.117
480, 5.31941e+06, , 5.18626e+06, 30.0153, 240.122
800, 5.32685e+06, , 5.1918e+06, 30.0151, 240.121
