Length, Avg. Value
180, 16464.8
180, 16478.8
180, 16550.5
180, 16478.6
300, 16443.9
300, 16440.8
300, 16443.9
300, 16440.8
480, 16398.4
480, 16436.9
480, 16397.8
480, 16436.9
